ID	Provider	2019-01-Steps	2019-02-Steps	2019-03-Steps	2019-04-Steps	2019-05-Steps	2019-06-Steps	2019-07-Steps	2019-08-Steps	2019-09-Steps	2019-10-Steps	2019-11-Steps	2019-12-Steps	2020-01-Steps	2020-02-Steps	2020-03-Steps	2020-04-Steps	2020-05-Steps	2020-06-Steps	2020-07-Steps	2020-08-Steps	2020-09-Steps	2020-10-Steps	2020-11-Steps	2020-12-Steps	2020-03-01-Steps	2020-03-13-Steps	2019-Steps	2020-Steps	2019-01-Mvpa	2019-02-Mvpa	2019-03-Mvpa	2019-04-Mvpa	2019-05-Mvpa	2019-06-Mvpa	2019-07-Mvpa	2019-08-Mvpa	2019-09-Mvpa	2019-10-Mvpa	2019-11-Mvpa	2019-12-Mvpa	2020-01-Mvpa	2020-02-Mvpa	2020-03-Mvpa	2020-04-Mvpa	2020-05-Mvpa	2020-06-Mvpa	2020-07-Mvpa	2020-08-Mvpa	2020-09-Mvpa	2020-10-Mvpa	2020-11-Mvpa	2020-12-Mvpa	2020-03-01-Mvpa	2020-03-13-Mvpa	2019-Mvpa	2020-Mvpa	2019-01-TEE	2019-02-TEE	2019-03-TEE	2019-04-TEE	2019-05-TEE	2019-06-TEE	2019-07-TEE	2019-08-TEE	2019-09-TEE	2019-10-TEE	2019-11-TEE	2019-12-TEE	2020-01-TEE	2020-02-TEE	2020-03-TEE	2020-04-TEE	2020-05-TEE	2020-06-TEE	2020-07-TEE	2020-08-TEE	2020-09-TEE	2020-10-TEE	2020-11-TEE	2020-12-TEE	2020-03-01-TEE	2020-03-13-TEE	2019-TEE	2020-TEE	2019-01-AEE	2019-02-AEE	2019-03-AEE	2019-04-AEE	2019-05-AEE	2019-06-AEE	2019-07-AEE	2019-08-AEE	2019-09-AEE	2019-10-AEE	2019-11-AEE	2019-12-AEE	2020-01-AEE	2020-02-AEE	2020-03-AEE	2020-04-AEE	2020-05-AEE	2020-06-AEE	2020-07-AEE	2020-08-AEE	2020-09-AEE	2020-10-AEE	2020-11-AEE	2020-12-AEE	2020-03-01-AEE	2020-03-13-AEE	2019-AEE	2020-AEE	2019-01-LPA	2019-02-LPA	2019-03-LPA	2019-04-LPA	2019-05-LPA	2019-06-LPA	2019-07-LPA	2019-08-LPA	2019-09-LPA	2019-10-LPA	2019-11-LPA	2019-12-LPA	2020-01-LPA	2020-02-LPA	2020-03-LPA	2020-04-LPA	2020-05-LPA	2020-06-LPA	2020-07-LPA	2020-08-LPA	2020-09-LPA	2020-10-LPA	2020-11-LPA	2020-12-LPA	2020-03-01-LPA	2020-03-13-LPA	2019-LPA	2020-LPA	2019-01-MPA	2019-02-MPA	2019-03-MPA	2019-04-MPA	2019-05-MPA	2019-06-MPA	2019-07-MPA	2019-08-MPA	2019-09-MPA	2019-10-MPA	2019-11-MPA	2019-12-MPA	2020-01-MPA	2020-02-MPA	2020-03-MPA	2020-04-MPA	2020-05-MPA	2020-06-MPA	2020-07-MPA	2020-08-MPA	2020-09-MPA	2020-10-MPA	2020-11-MPA	2020-12-MPA	2020-03-01-MPA	2020-03-13-MPA	2019-MPA	2020-MPA	2019-01-VPA	2019-02-VPA	2019-03-VPA	2019-04-VPA	2019-05-VPA	2019-06-VPA	2019-07-VPA	2019-08-VPA	2019-09-VPA	2019-10-VPA	2019-11-VPA	2019-12-VPA	2020-01-VPA	2020-02-VPA	2020-03-VPA	2020-04-VPA	2020-05-VPA	2020-06-VPA	2020-07-VPA	2020-08-VPA	2020-09-VPA	2020-10-VPA	2020-11-VPA	2020-12-VPA	2020-03-01-VPA	2020-03-13-VPA	2019-VPA	2020-VPA	2019-01-SED	2019-02-SED	2019-03-SED	2019-04-SED	2019-05-SED	2019-06-SED	2019-07-SED	2019-08-SED	2019-09-SED	2019-10-SED	2019-11-SED	2019-12-SED	2020-01-SED	2020-02-SED	2020-03-SED	2020-04-SED	2020-05-SED	2020-06-SED	2020-07-SED	2020-08-SED	2020-09-SED	2020-10-SED	2020-11-SED	2020-12-SED	2020-03-01-SED	2020-03-13-SED	2019-SED	2020-SED
51	Garmin	9785	5985	6218	5578	6645	4781	6218	6991	5718	6888	6639	4873	5808	7496	8668	8610	6426	10627	12534	12116	11539	8027	5687	6152	8965	8480	6420	8855	28	14	31	36	32	7	51	68	19	25	38	31	3	10	5	2	NULL	11	18	23	16	6	2	3	4	5	31	9	2629	2413	2547	2607	2658	2384	2664	2722	2500	2460	2597	2384	2625	2700	2801	2873	2546	2769	2845	2834	2786	2581	2531	2488	2808	2796	2552	2716	587	371	505	565	616	319	622	676	436	427	555	382	589	664	765	837	510	733	824	798	750	545	495	452	772	760	509	681	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20	4	6	6	2	0	2	4	0	1	1	1	0	0	0	0	NULL	0	0	1	0	0	0	0	0	0	19	2	8	2	4	2	3	0	3	2	0	0	0	0	0	0	0	0	NULL	0	0	0	0	0	0	0	0	0	12	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
52	Garmin	12955	11892	12100	13474	13260	11642	17356	12350	14021	9666	12153	11296	10537	10360	11134	12400	11128	NULL	NULL	NULL	NULL	NULL	NULL	10438	9953	11879	12603	11055	26	18	40	24	33	28	57	30	38	8	75	20	25	17	22	34	12	NULL	NULL	NULL	NULL	NULL	NULL	26	15	26	34	23	2330	2230	2393	2292	2239	2337	2855	2431	2493	2104	2246	2218	2317	1643	2328	2423	2186	NULL	NULL	NULL	NULL	NULL	NULL	1848	2227	2391	2324	2162	685	551	794	657	711	700	1216	890	855	554	604	618	696	409	672	771	564	NULL	NULL	NULL	NULL	NULL	NULL	481	573	735	712	615	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	0	1	0	1	1	0	0	0	0	8	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	11	1	23	6	9	5	6	2	4	2	2	0	1	2	2	1	1	2	0	NULL	NULL	NULL	NULL	NULL	NULL	1	0	1	22	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
53	Garmin	8824	11631	9853	9346	10063	8447	10065	9124	12145	8643	9280	8433	7799	9185	8493	8486	12133	12805	14089	13747	12989	12805	12762	11063	9508	7852	9621	11529	16	20	14	21	16	13	33	20	19	14	18	19	14	17	19	36	36	37	44	40	37	39	43	41	13	23	19	34	2723	2628	2570	2649	2537	2435	2490	2459	2537	2399	2427	2447	2336	2494	2455	2484	2661	2733	2570	2557	2581	2583	2558	2535	2475	2443	2523	2554	711	669	588	649	553	471	548	495	573	435	463	530	417	531	485	545	703	775	672	648	672	674	649	626	505	473	555	624	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9	5	3	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	6	3	0	2	2	1	2	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	10	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
54	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	18746	21768	16950	15207	15742	16182	15082	15358	NULL	NULL	NULL	16879	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	66	62	72	66	66	83	45	51	NULL	NULL	NULL	62	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2391	2314	2264	2225	2214	2277	2118	2185	NULL	NULL	NULL	2230	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	816	739	681	661	627	690	572	598	NULL	NULL	NULL	655	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	9	4	2	1	3	1	0	NULL	NULL	NULL	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	64	49	24	16	11	9	6	7	NULL	NULL	NULL	52	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
55	Fitbit	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10220	5145	7904	8118	5857	4026	1784	10172	19963	21653	14366	20612	30737	22809	12625	6684	2347	7644	14419	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	113	15	50	65	47	21	16	100	171	197	125	183	267	198	73	33	14	57	122	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3621	2986	3373	3312	2990	2684	2573	3240	3773	3921	3308	3509	4119	3591	2953	3077	2436	3314	3333	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1682	310	1466	1314	806	589	572	1430	2174	2417	1697	1961	2729	2101	1460	844	428	1135	1607	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	105	16	73	37	15	15	13	13	14	14	12	9	10	8	15	8	7	114	100	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	32	2	8	6	2	1	1	4	3	6	2	3	3	2	2	1	0	19	25	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	81	6	10	10	6	2	1	8	15	14	8	11	17	12	2	1	1	38	74	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	890	694	317	238	210	196	141	115	93	78	76	64	52	56	58	96	110	1020	702
56	Garmin	11073	9768	10007	8218	9713	10091	9205	10678	9776	10844	11273	10390	10596	11843	11431	10375	8674	8867	10649	11171	12483	10700	12786	11943	11095	11643	10092	10939	52	32	31	42	34	35	34	39	46	47	41	43	51	42	41	41	30	43	39	47	56	42	48	46	51	34	40	44	3226	3248	2873	3248	3056	2962	2759	2927	2906	2947	3034	2965	3206	3100	3040	3045	3042	3180	2950	3237	3322	3090	3099	2999	3123	2987	3010	3110	1063	1089	707	1083	910	822	625	745	732	782	868	806	1045	961	912	914	911	1054	826	1116	1209	972	984	890	994	861	851	984	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9	3	2	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	10	6	42	11	8	8	5	4	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	30	15	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
57	Garmin	9865	7914	9009	7476	10678	10392	9367	10056	9113	11403	11396	9103	9346	9252	5861	7648	7934	9104	6939	7511	9353	9515	9203	8211	7398	4891	9663	8320	13	6	12	5	16	19	5	22	9	19	31	17	12	10	3	4	6	10	3	8	3	0	7	6	9	NULL	15	6	2719	2517	2633	2522	2756	2726	2591	2772	2546	2721	2788	2617	2610	2652	2489	2555	2600	2618	2399	2637	2530	2555	2612	2543	2554	2448	2660	2567	539	337	453	342	558	546	411	592	366	541	608	437	436	478	318	381	426	444	257	463	356	378	438	369	380	278	479	395	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	12	2	3	0	2	2	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	12	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	2	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
58	Garmin	7626	8175	7807	9555	9954	9636	9069	10110	10344	10051	10625	8421	6478	7602	9966	10203	10875	11230	11537	10355	9530	11258	10694	11207	11150	9218	9197	10232	22	26	22	23	35	26	39	29	32	37	34	23	20	16	33	29	37	42	40	25	22	35	35	38	32	33	29	31	1972	2021	1926	1983	2054	2022	1973	1999	2084	2027	2013	1989	1887	1931	2011	2057	2142	2157	2110	2043	2013	2105	2023	2087	2042	1992	2002	2057	408	454	384	419	487	460	425	446	517	488	446	423	375	383	450	496	581	596	566	482	452	544	483	526	481	431	443	502	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7	4	5	2	2	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	9	5	15	8	3	3	5	3	3	2	1	1	1	1	0	0	1	1	2	1	1	0	0	1	0	0	0	1	19	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
59	Fitbit	7649	9157	8774	9820	10326	10720	9012	9035	10825	10574	8547	10411	10507	11226	10031	10180	10938	11233	7883	11247	10301	12141	11009	10824	10705	9604	9570	10623	29	56	36	41	41	56	52	39	52	46	29	52	49	63	42	40	46	50	22	61	41	49	44	52	42	42	44	46	2318	2415	2343	2400	2451	2469	2290	2354	2457	2447	2327	2541	2431	2495	2365	2390	2453	2503	2226	2550	2459	2622	2472	2497	2415	2334	2401	2455	1123	1243	1171	1244	1310	1328	1090	1188	1322	1312	1152	1430	1286	1357	1214	1247	1332	1217	616	1422	1321	1120	1071	1256	1274	1175	1243	1204	275	127	97	73	63	48	34	35	32	31	25	27	22	19	19	18	18	14	7	15	14	11	9	12	8	11	287	136	19	15	7	5	4	4	3	2	2	2	1	2	2	2	1	1	1	1	0	1	1	1	1	1	0	0	24	12	10	11	5	4	4	4	3	2	3	2	0	1	1	2	1	1	1	1	0	1	0	0	0	0	0	0	20	10	598	321	217	152	130	99	91	83	65	64	59	50	47	40	45	37	37	40	52	30	29	37	34	28	18	27	626	347
60	Fitbit	14091	14453	13673	16630	20077	18316	16835	16396	16319	15167	13936	14293	13153	14472	15439	17261	16806	14599	14712	14671	15563	16727	15306	15642	17078	14404	15851	15376	76	96	74	103	108	105	98	89	93	94	81	84	76	93	94	101	129	109	126	97	80	96	91	97	119	77	92	100	2551	2597	2539	2722	2901	2812	2690	2705	2690	2627	2580	2597	2567	2662	2644	2767	2951	2669	2776	2515	2549	2685	2641	2724	2814	2536	2668	2688	1259	1488	1413	1578	1764	1651	1596	1639	1611	1530	1465	1512	1468	1576	1529	1707	1917	1606	1718	1402	1462	1627	1571	1677	1733	1400	1542	1615	228	115	91	59	58	45	40	38	31	26	23	24	21	18	17	18	16	15	13	8	8	14	12	13	6	10	267	134	20	9	5	5	5	4	4	2	2	2	1	1	1	1	1	1	1	2	2	1	0	1	1	0	0	0	22	12	55	36	20	18	16	12	10	8	7	7	5	5	4	4	4	4	6	3	4	2	1	3	3	3	2	2	69	36	727	284	206	143	132	99	92	76	66	61	54	49	48	41	44	35	35	33	32	23	18	26	25	23	16	28	614	289
61	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2492	3975	4472	4633	5225	6311	4780	5497	7380	9119	5639	6504	4163	4602	5738	4901	3641	5718	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	12	6	9	18	13	17	21	33	7	11	10	8	16	5	4	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2381	2563	2666	2625	2629	2696	2622	2726	2852	2817	2629	2610	2535	2590	2676	2599	2522	2668	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	221	374	476	412	416	483	407	467	601	581	431	454	369	378	464	385	340	458	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2	0	1	1	1	0	1	1	0	0	0	0	0	0	2	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	1	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
62	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	11007	8634	9892	10750	13434	11439	6954	10749	10752	14632	16260	14920	17096	13602	9550	11007	11921	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	38	34	50	65	74	56	39	49	58	81	67	57	80	71	62	38	59	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2817	2602	2719	2772	2924	2894	2711	2677	2708	3025	2951	2940	3090	2855	2737	2817	2827	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	701	492	609	662	814	784	601	567	598	915	838	830	980	745	627	701	717	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	18	9	4	9	8	2	0	2	2	3	2	0	1	2	7	18	19	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20	16	14	11	11	7	6	4	3	4	3	3	3	6	6	20	37	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
63	Garmin	NULL	NULL	NULL	NULL	9121	10994	12694	14681	13147	13217	12600	12130	12580	13831	12134	12467	12057	13042	12729	12289	14838	11920	11033	11411	12377	11981	12453	12532	NULL	NULL	NULL	NULL	48	49	44	49	60	39	54	66	40	51	48	66	56	46	46	60	119	63	44	45	41	53	51	57	NULL	NULL	NULL	NULL	2901	2974	2991	3045	2895	2947	2986	2919	2876	2930	2973	3101	3082	3150	3069	3106	3115	3023	2958	3014	2895	3022	2958	3033	NULL	NULL	NULL	NULL	662	790	758	814	662	714	753	733	649	703	749	874	855	923	899	879	888	793	731	787	668	800	736	811	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	19	8	3	3	8	2	2	3	1	2	1	1	1	0	1	1	5	1	0	0	0	0	19	13	NULL	NULL	NULL	NULL	28	15	14	10	4	4	5	5	3	2	3	3	3	2	2	2	1	2	2	1	1	2	32	21	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
64	Fitbit	NULL	9168	8768	10551	11528	12048	10479	10273	8005	8090	7080	7388	7434	7309	7309	7101	8482	8413	9796	9227	7318	6731	5670	7036	6099	8073	9414	7679	NULL	27	41	39	37	45	41	46	25	48	32	15	31	27	14	19	22	27	27	47	19	15	8	18	11	15	36	23	NULL	2782	2871	2913	2934	3025	2863	2779	2592	2688	2533	2518	2589	2525	2408	2420	2485	2511	2586	2599	2433	2323	2231	2435	2359	2439	2773	2464	NULL	1499	1604	1695	1725	1832	1626	1525	1273	1395	1213	1206	1286	1233	1108	1107	1208	1221	1242	1339	1131	1006	914	1189	1007	1172	1510	1168	NULL	335	211	141	108	85	63	48	37	33	26	28	25	21	21	11	19	17	17	15	14	12	11	13	7	13	332	146	NULL	16	18	7	5	5	3	2	1	3	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	20	6	NULL	11	7	7	4	4	4	4	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	16	5	NULL	636	356	209	151	110	99	85	74	72	60	62	54	45	47	30	41	38	37	36	34	32	38	29	19	28	580	343
65	Garmin	11502	10360	12882	14706	13052	15713	11878	13490	16850	13359	11412	13667	NULL	NULL	8977	15909	18411	14380	18939	9763	14600	13895	12354	15059	NULL	8977	13204	14338	39	37	31	55	37	62	65	63	72	54	50	54	NULL	NULL	46	92	128	110	151	60	107	102	75	82	NULL	46	51	95	2026	1979	2011	2112	2010	2094	2093	2087	2301	2056	1979	2161	NULL	NULL	1927	2210	2415	2125	2114	1929	2208	2203	2129	2195	NULL	1927	2069	2178	472	435	478	558	456	540	539	533	747	502	425	607	NULL	NULL	379	658	867	577	711	381	660	653	581	647	NULL	379	517	633	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	2	0	0	0	0	0	1	1	0	0	0	NULL	NULL	0	1	6	6	1	0	5	5	1	0	NULL	0	5	23	34	11	10	12	6	10	7	7	5	4	4	2	NULL	NULL	1	4	NULL	NULL	NULL	0	NULL	1	2	2	NULL	1	46	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
66	Garmin	7548	8264	7741	6672	7537	7354	10282	8952	8468	8511	7031	8326	6744	6297	7904	7600	7886	6398	6937	7833	8984	8227	7991	7680	7403	8105	8131	7550	18	15	13	29	20	15	27	29	18	16	12	17	14	7	18	30	16	24	25	21	21	24	20	15	18	17	19	19	2005	2019	1962	2049	2050	1957	2101	2098	2022	2022	1972	1966	1904	1835	1933	2077	2012	2026	1944	1980	1979	1994	1997	1938	1897	1948	2021	1967	360	374	334	404	405	312	456	453	377	375	327	321	265	196	294	438	373	398	338	341	340	352	358	299	258	309	377	331	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	17	6	3	4	2	2	3	3	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	15	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
67	Garmin	11761	12263	13737	11006	9575	9675	11890	9283	10229	9156	12767	12703	11899	12719	12510	9973	10024	9325	9823	8159	9078	8860	10164	10694	11242	13311	11164	10258	52	62	58	73	38	40	52	49	45	43	51	59	43	62	44	58	54	39	55	42	37	38	42	53	38	47	52	47	2597	2648	2639	2573	2388	2350	2426	2366	2448	2393	2518	2539	2346	2485	2350	2422	2417	2311	2363	2292	2316	2335	2350	2467	2299	2383	2489	2370	867	917	910	845	660	620	692	629	701	651	787	819	631	766	623	686	680	575	630	560	565	574	591	708	576	653	757	631	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9	4	2	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	43	24	17	15	6	5	5	4	4	3	3	4	3	3	2	3	2	1	2	1	1	1	1	1	0	1	42	19	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
68	Fitbit	9619	9915	12285	12432	10511	7983	9412	9681	10842	10814	8334	5963	7341	8324	6699	6029	7559	8533	10279	9293	9024	9691	9154	7833	9115	5173	9814	8315	53	54	66	79	56	9	21	37	13	12	6	3	29	37	25	31	32	31	46	46	54	65	42	45	31	21	34	40	3001	3022	3076	3044	2866	2692	2893	2951	2941	2894	2675	2456	2488	2665	2510	2390	2579	2672	2940	2895	2750	2936	2846	2767	2737	2366	2875	2704	1624	1660	1770	1754	1552	514	804	1503	624	393	351	429	1003	1218	1003	811	1078	1153	1519	1496	1319	1500	1419	1329	1291	821	1080	1238	297	142	109	75	60	18	22	38	14	7	6	8	15	15	13	8	12	12	14	14	10	11	11	10	7	7	204	114	27	14	12	9	6	0	1	2	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	18	9	25	11	10	10	4	0	1	2	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	16	10	615	287	200	147	124	189	146	84	122	126	107	92	55	44	47	44	41	37	33	30	31	29	26	26	17	30	871	330
